Fishery guild,Ecoregion,Metric,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
All Stocks,All Areas,F_FMSY,0.465,0.76,0.85,0.905,1.560535714,1.465,1.693214286,1.244821429,1.156428571,1.284464286,1.443035714,1.484285714,1.749809524,1.645178571,1.92515625,1.608588095,1.751294048,1.871035714,1.55922619,1.465127381,1.467116667,1.19902381,1.247332341,1.336111111,1.338047619,1.147957378,1.402399242,1.269764083,1.273976324,1.338129077,1.62508443,1.755092472,1.528893204,1.437393782,1.47807153,1.441179942,1.583233932,1.75809751,1.754892913,1.729973779,1.88749136,1.925097776,2.077322365,2.094212021,2.007348823,1.984873468,1.974208131,1.910907794,2.067914186,2.013246626,2.002000417,2.02107099,2.060433404,2.148202465,2.007820337,1.842402056,1.904122728,1.800942868,1.743949014,1.773893788,1.802284547,1.659395897,1.624578022,1.622331992,1.534465127,1.33434267,1.275042013,1.156862969,1.216838399,NA
All Stocks,Baltic Sea,F_FMSY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.806666667,0.953209013,0.933286713,0.933426573,1.234476253,0.951302083,0.921240895,0.883822115,0.859331658,0.934826632,0.87831148,1.136184076,0.984047931,0.947644959,0.951378205,0.983611233,0.907352491,0.711573062,0.857932692,0.956664336,0.970440851,1.618009421,1.806988151,1.805783314,1.988346445,1.956593094,2.005702473,2.091689549,2.049557261,1.951661644,1.846185335,1.848305281,1.7262923,1.634940274,1.685880291,1.597214081,1.628039714,1.436876913,1.324090993,1.269787313,1.307229387,1.276538906,NA
All Stocks,Barents Sea and Norwegian Sea,F_FMSY,0.465,0.76,0.85,0.905,1.560535714,1.465,1.693214286,1.244821429,1.156428571,1.284464286,1.443035714,1.246428571,1.370714286,1.350357143,1.3975,1.773928571,2.050714286,2.315714286,1.780357143,1.486964286,1.4525,1.338571429,1.419642857,1.62625,1.503392857,1.226428571,1.76625,1.511071429,1.485178571,1.570892857,1.838928571,2.161785714,2.063571429,1.734642857,1.559285714,1.655892857,1.443214286,1.445,1.580714286,1.437142857,1.88125,2.084464286,1.973214286,1.315,0.663035714,0.756964286,1.005892857,1.176964286,1.603571429,1.517857143,1.509642857,2.011428571,1.825357143,1.83625,1.603571429,1.35375,1.317321429,1.231071429,1.433214286,1.488928571,1.222142857,0.958571429,0.929464286,0.844285714,0.810892857,0.890178571,0.711428571,0.735178571,0.813392857,NA
All Stocks,Faroe Plateau Ecosystem,F_FMSY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,2.508,1.94,2.4528125,1.498361111,1.551680556,1.574583333,1.411805556,1.450569444,1.476861111,1.17025,1.245111111,1.315138889,1.248833333,1.174597222,1.140222222,1.041041667,0.923972222,0.981458333,1.122125,1.584611111,1.084416667,0.937013889,0.883236111,1.150152778,1.245916667,1.516527778,1.365611111,1.522652778,1.556652778,1.256875,1.406958333,1.6105,1.682194444,1.682444444,1.336194444,0.996569444,1.014263889,1.128152778,1.540138889,1.640611111,1.645930556,1.530972222,1.178055556,1.389555556,1.792027778,1.820472222,1.634958333,1.457416667,1.587,1.375291667,1.241527778,1.576652778,1.813986111,1.541402778,1.559708333,1.088541667,1.159166667,NA
All Stocks,Iceland and East Greenland,F_FMSY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.030927835,0.793814433,0.680412371,0.75257732,0.907216495,1.381443299,0.81443299,0.680412371,1.020618557,1.512628866,1.470876289,1.872580183,2.017812142,1.7819874,1.529997136,1.463044101,1.690237426,1.855623243,1.908370431,2.150432482,2.305753085,2.346537215,2.050473485,2.013374727,1.916041862,1.751910536,1.557303382,1.671507927,1.970366682,1.898599071,1.690090987,1.820884099,1.557103249,1.321309747,1.445676156,1.492832318,1.596028585,1.685141362,1.415986215,1.347463683,1.211548149,1.248356959,1.085703686,1.132867659,NA
All Stocks,North Sea,F_FMSY,NA,0.640740741,0.62962963,0.681481481,0.714814815,0.87037037,0.911111111,0.966666667,1.085185185,1.07037037,1.081481481,1.226907083,1.325737492,1.430295647,1.421838856,1.519096816,1.678395062,1.586101365,1.670844704,1.721790123,1.827248213,1.908823709,2.180767239,2.122760112,2.389198343,2.502957176,2.119910404,2.332260366,2.217580591,2.632777989,2.222137984,2.098477313,1.991330775,2.056123771,1.791518419,1.726386721,1.649031279,1.908604815,1.979033745,1.93068876,1.933852787,1.991579286,1.876557011,1.882039699,1.963090074,1.895685298,1.919762376,2.056799226,1.975488742,2.042165476,1.917830898,1.96266353,1.978406147,1.89502163,1.715324408,1.788788113,1.622405277,1.511337505,1.578572014,1.421581877,1.445352711,1.439280404,1.238529092,1.16209643,1.039303348,0.990596998,0.960610229,0.852578039,0.953246514,NA
All Stocks,Widely distributed and migratory stocks,F_FMSY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.851851852,1.962962963,1.630639731,1.420673401,1.267753302,1.421925926,1.451838125,1.447689847,1.651580549,1.737692308,1.641215143,1.771738108,1.769076988,1.650254792,1.719490741,1.815568182,1.901556592,2.0188168,1.826507921,1.983105089,1.931657925,2.021812786,1.916624471,1.837315678,1.814028317,1.731907537,1.71783519,1.785994453,1.699082923,1.602167401,1.547302081,1.404097276,1.276463136,0.994963416,1.01571797,1.028816369,1.155807973,NA
benthic,All Areas,F_FMSY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.271842105,1.403421053,1.536184211,1.608684211,1.686052632,1.875,1.940263158,1.915526316,1.6475,1.800131579,2.105263158,2.130921053,2.243552632,2.470526316,2.24,2.391447368,2.621842105,2.634473684,2.761315789,2.260263158,2.499605263,2.428026316,3.011842105,2.139245614,2.222701754,2.120899123,2.213592105,2.210368116,1.938117468,2.098518993,2.34473196,2.156175439,2.183534249,1.966,2.115982304,2.111542944,2.115097788,2.111127536,2.321676278,2.425651869,2.66967704,2.442177879,2.464864865,2.618918919,2.494594595,2.297297297,2.045945946,1.924324324,1.864864865,1.940540541,1.832432432,1.624324324,1.324324324,1.083783784,0.908108108,0.621621622,0.535135135,0.502702703,NA
benthic,Baltic Sea,F_FMSY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.464864865,2.618918919,2.494594595,2.297297297,2.045945946,1.924324324,1.864864865,1.940540541,1.832432432,1.624324324,1.324324324,1.083783784,0.908108108,0.621621622,0.535135135,0.502702703,NA
benthic,North Sea,F_FMSY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.271842105,1.403421053,1.536184211,1.608684211,1.686052632,1.875,1.940263158,1.915526316,1.6475,1.800131579,2.105263158,2.130921053,2.243552632,2.470526316,2.24,2.391447368,2.621842105,2.634473684,2.761315789,2.260263158,2.499605263,2.428026316,3.011842105,2.139245614,2.222701754,2.120899123,2.213592105,2.210368116,1.938117468,2.098518993,2.34473196,2.156175439,2.183534249,1.966,2.115982304,2.111542944,2.115097788,2.111127536,2.321676278,2.425651869,2.66967704,2.442177879,2.368093364,2.013397712,2.182805339,2.000074905,1.985261327,1.873233715,1.751638902,1.698541571,1.627981236,1.495389779,1.410657208,1.311223646,1.17889733,1.130465904,1.046227307,1.058131655,NA
