"ASSESSMENTYEAR","ECOREGION","GUILD","STOCKID","YEAR","METRIC","VALUE","valueMean","stockValue","guildValue","ecoValue"
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",1987,"F",0.658,0.360034482758621,1.82760272004597,1.41095462807127,1.2071470333433
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",1988,"F",0.478,0.360034482758621,1.32765060817929,1.14833908227229,1.39981356099149
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",1989,"F",0.498,0.360034482758621,1.38320084283115,1.08482899501308,1.35276784941838
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",1990,"F",0.611,0.360034482758621,1.69705966861412,1.32602167367546,1.27023773374513
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",1991,"F",0.578,0.360034482758621,1.60540178143856,1.22261283181091,1.20870432362326
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",1992,"F",0.496,0.360034482758621,1.37764581936596,1.12583328919145,1.31678984164101
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",1993,"F",0.524,0.360034482758621,1.45541614787856,1.1903469930323,1.1895884097731
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",1994,"F",0.677,0.360034482758621,1.88037544296523,1.21342053285887,1.22955503115855
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",1995,"F",0.685,0.360034482758621,1.90259553682597,1.19603664865214,1.18540947656412
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",1996,"F",0.673,0.360034482758621,1.86926539603486,1.1355283417439,1.12753891209992
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",1997,"F",0.434,0.360034482758621,1.20544009194522,1.0872376234892,1.09215911935004
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",1998,"F",0.326,0.360034482758621,0.905468824825208,1.1647705090578,1.10649374296267
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",1999,"F",0.37,0.360034482758621,1.02767934105929,0.990716603860692,0.99519618240526
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2000,"F",0.398,0.360034482758621,1.10544966957188,0.980471994725713,1.00464024252157
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2001,"F",0.439,0.360034482758621,1.21932765060818,1.00310515573922,0.971102320029064
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2002,"F",0.437,0.360034482758621,1.21377262714299,0.954094525961007,0.944619999283352
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2003,"F",0.379,0.360034482758621,1.05267694665262,0.844505190702439,0.822217653055428
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2004,"F",0.533,0.360034482758621,1.48041375347189,1.03153613714905,0.890475147199059
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2005,"F",0.081,0.360034482758621,0.224978450340006,0.617494796529108,0.780807993315413
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2006,"F",0.084,0.360034482758621,0.233310985537784,0.622694517292509,0.879671250717444
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2007,"F",0.004,0.360034482758621,0.0111100469303707,0.549461965189203,0.760386783410624
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2008,"F",0,0.360034482758621,0,0.679745414013347,0.770726964722376
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2009,"F",0,0.360034482758621,0,0.775549275115228,0.778700856261106
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2010,"F",0.2,0.360034482758621,0.555502346518533,1.11273663220389,0.809402001305117
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2011,"F",0.122,0.360034482758621,0.338856431376305,0.98623811248365,0.845616207498369
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2012,"F",0.145,0.360034482758621,0.402739201225936,0.867093592815369,0.791343617224652
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2013,"F",0.203,0.360034482758621,0.563834881716311,0.86895190514618,0.778081668881481
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2014,"F",0.238,0.360034482758621,0.661047792357054,0.696213764241184,0.828577169195021
2015,"Bay of Biscay and Iberian waters","pelagic","ane-bisc",2015,"F",0.17,0.360034482758621,0.472176994540753,0.472176994540753,0.472176994540753
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1980,"F",0.33,0.484571428571429,0.681014150943396,0.681014150943396,1.03006146703019
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1981,"F",0.33,0.484571428571429,0.681014150943396,0.681014150943396,0.983716670856197
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1982,"F",0.37,0.484571428571429,0.763561320754717,0.763561320754717,0.809204867298633
