ASSESSMENTYEAR,ECOREGION,GUILD,STOCKID,YEAR,METRIC,VALUE
2015,North Sea,Crustacean,nep-6,2001,F,0.22
2015,North Sea,Crustacean,nep-6,2002,F,0.17
2015,North Sea,Crustacean,nep-6,2003,F,0.16
2015,North Sea,Crustacean,nep-6,2004,F,0.12
2015,North Sea,Crustacean,nep-6,2005,F,0.12
2015,North Sea,Crustacean,nep-6,2006,F,0.25
2015,North Sea,Crustacean,nep-6,2007,F,0.19
2015,North Sea,Crustacean,nep-6,2008,F,0.06
2015,North Sea,Crustacean,nep-6,2009,F,0.23
2015,North Sea,Crustacean,nep-6,2010,F,0.1
2015,North Sea,Crustacean,nep-6,2011,F,0.11
2015,North Sea,Crustacean,nep-6,2012,F,0.16
2015,North Sea,Crustacean,nep-6,2013,F,0.22
2015,North Sea,Crustacean,nep-6,2014,F,0.13
2015,North Sea,Crustacean,nep-6,2015,F,NA
2015,North Sea,Crustacean,nep-6,2001,FMSY,0.081
2015,North Sea,Crustacean,nep-6,2002,FMSY,0.081
2015,North Sea,Crustacean,nep-6,2003,FMSY,0.081
2015,North Sea,Crustacean,nep-6,2004,FMSY,0.081
2015,North Sea,Crustacean,nep-6,2005,FMSY,0.081
2015,North Sea,Crustacean,nep-6,2006,FMSY,0.081
2015,North Sea,Crustacean,nep-6,2007,FMSY,0.081
2015,North Sea,Crustacean,nep-6,2008,FMSY,0.081
2015,North Sea,Crustacean,nep-6,2009,FMSY,0.081
2015,North Sea,Crustacean,nep-6,2010,FMSY,0.081
2015,North Sea,Crustacean,nep-6,2011,FMSY,0.081
2015,North Sea,Crustacean,nep-6,2012,FMSY,0.081
2015,North Sea,Crustacean,nep-6,2013,FMSY,0.081
2015,North Sea,Crustacean,nep-6,2014,FMSY,0.081
2015,North Sea,Crustacean,nep-6,2015,FMSY,0.081
2015,North Sea,Crustacean,nep-6,2001,MSYBtrigger,858
2015,North Sea,Crustacean,nep-6,2002,MSYBtrigger,858
2015,North Sea,Crustacean,nep-6,2003,MSYBtrigger,858
2015,North Sea,Crustacean,nep-6,2004,MSYBtrigger,858
2015,North Sea,Crustacean,nep-6,2005,MSYBtrigger,858
2015,North Sea,Crustacean,nep-6,2006,MSYBtrigger,858
2015,North Sea,Crustacean,nep-6,2007,MSYBtrigger,858
2015,North Sea,Crustacean,nep-6,2008,MSYBtrigger,858
2015,North Sea,Crustacean,nep-6,2009,MSYBtrigger,858
2015,North Sea,Crustacean,nep-6,2010,MSYBtrigger,858
2015,North Sea,Crustacean,nep-6,2011,MSYBtrigger,858
2015,North Sea,Crustacean,nep-6,2012,MSYBtrigger,858
2015,North Sea,Crustacean,nep-6,2013,MSYBtrigger,858
2015,North Sea,Crustacean,nep-6,2014,MSYBtrigger,858
2015,North Sea,Crustacean,nep-6,2015,MSYBtrigger,858
2015,North Sea,Crustacean,nep-6,2001,SSB,1685
2015,North Sea,Crustacean,nep-6,2002,SSB,1048
2015,North Sea,Crustacean,nep-6,2003,SSB,1085
2015,North Sea,Crustacean,nep-6,2004,SSB,1377
2015,North Sea,Crustacean,nep-6,2005,SSB,1657
2015,North Sea,Crustacean,nep-6,2006,SSB,1244
2015,North Sea,Crustacean,nep-6,2007,SSB,858
2015,North Sea,Crustacean,nep-6,2008,SSB,987
2015,North Sea,Crustacean,nep-6,2009,SSB,682
2015,North Sea,Crustacean,nep-6,2010,SSB,785
2015,North Sea,Crustacean,nep-6,2011,SSB,878
2015,North Sea,Crustacean,nep-6,2012,SSB,758
2015,North Sea,Crustacean,nep-6,2013,SSB,706
2015,North Sea,Crustacean,nep-6,2014,SSB,755
2015,North Sea,Crustacean,nep-6,2015,SSB,568
2015,North Sea,Crustacean,nep-7,2003,F,0.041
2015,North Sea,Crustacean,nep-7,2004,F,0.054
2015,North Sea,Crustacean,nep-7,2005,F,0.093
2015,North Sea,Crustacean,nep-7,2006,F,0.084
2015,North Sea,Crustacean,nep-7,2007,F,0.07
2015,North Sea,Crustacean,nep-7,2008,F,0.061
2015,North Sea,Crustacean,nep-7,2009,F,0.094
2015,North Sea,Crustacean,nep-7,2010,F,0.099
2015,North Sea,Crustacean,nep-7,2011,F,0.062
2015,North Sea,Crustacean,nep-7,2012,F,0.047
2015,North Sea,Crustacean,nep-7,2013,F,0.031
2015,North Sea,Crustacean,nep-7,2014,F,0.035
2015,North Sea,Crustacean,nep-7,2003,FMSY,0.075
2015,North Sea,Crustacean,nep-7,2004,FMSY,0.075
2015,North Sea,Crustacean,nep-7,2005,FMSY,0.075
2015,North Sea,Crustacean,nep-7,2006,FMSY,0.075
2015,North Sea,Crustacean,nep-7,2007,FMSY,0.075
2015,North Sea,Crustacean,nep-7,2008,FMSY,0.075
2015,North Sea,Crustacean,nep-7,2009,FMSY,0.075
2015,North Sea,Crustacean,nep-7,2010,FMSY,0.075
2015,North Sea,Crustacean,nep-7,2011,FMSY,0.075
2015,North Sea,Crustacean,nep-7,2012,FMSY,0.075
2015,North Sea,Crustacean,nep-7,2013,FMSY,0.075
2015,North Sea,Crustacean,nep-7,2014,FMSY,0.075
2015,North Sea,Crustacean,nep-7,2003,MSYBtrigger,2767
2015,North Sea,Crustacean,nep-7,2004,MSYBtrigger,2767
