"ECOREGION","GUILD","STOCKID","F.Year","F.Fmsy","SSB.Year","SSB.Btrigger"
"Baltic Sea","Demersal","cod-2224",2014,3.23846153846154,2015,0.61828125
"Baltic Sea","Flatfish","ple-2123",2014,0.502702702702703,2015,2.90527642715649
"Baltic Sea","Pelagic","her-2532-gor",2014,0.718181818181818,2015,1.666785
"Baltic Sea","Pelagic","her-30",2014,1.02666666666667,2015,2.11854746835443
"Baltic Sea","Pelagic","her-3a22",2014,0.815625,2015,1.18040909090909
"Baltic Sea","Pelagic","her-riga",2014,1.06875,2015,1.50578333333333
"Baltic Sea","Pelagic","hom-west",2014,0.953846153846154,2015,1.14022411779816
"Barents Sea and Norwegian Sea","Pelagic","hom-west",2014,0.953846153846154,2015,1.14022411779816
"Bay of Biscay and Iberian Sea","Pelagic","hom-west",2014,0.953846153846154,2015,1.14022411779816
"Celtic Sea and West of Scotland","Pelagic","hom-west",2014,0.953846153846154,2015,1.14022411779816
"Faroe Plateau Ecosystem","Pelagic","hom-west",2014,0.953846153846154,2015,1.14022411779816
"Iceland and East Greenland","Pelagic","hom-west",2014,0.953846153846154,2015,1.14022411779816
"North Sea","Pelagic","hom-west",2014,0.953846153846154,2015,1.14022411779816
"Baltic Sea","Pelagic","mac-nea",2014,1.54090909090909,2015,1.20668533333333
"Barents Sea and Norwegian Sea","Pelagic","mac-nea",2014,1.54090909090909,2015,1.20668533333333
"Bay of Biscay and Iberian Sea","Pelagic","mac-nea",2014,1.54090909090909,2015,1.20668533333333
"Celtic Sea and West of Scotland","Pelagic","mac-nea",2014,1.54090909090909,2015,1.20668533333333
"Faroe Plateau Ecosystem","Pelagic","mac-nea",2014,1.54090909090909,2015,1.20668533333333
"Iceland and East Greenland","Pelagic","mac-nea",2014,1.54090909090909,2015,1.20668533333333
"North Sea","Pelagic","mac-nea",2014,1.54090909090909,2015,1.20668533333333
"Baltic Sea","Pelagic","spr-2232",2014,1.56538461538462,2015,1.32105263157895
"Baltic Sea","Short lived","spr-2232",2014,1.56538461538462,2015,1.32105263157895
"Baltic Sea","Pelagic","whb-comb",2014,1.42666666666667,2014,1.76222222222222
"Barents Sea and Norwegian Sea","Pelagic","whb-comb",2014,1.42666666666667,2014,1.76222222222222
"Bay of Biscay and Iberian Sea","Pelagic","whb-comb",2014,1.42666666666667,2014,1.76222222222222
"Celtic Sea and West of Scotland","Pelagic","whb-comb",2014,1.42666666666667,2014,1.76222222222222
"Faroe Plateau Ecosystem","Pelagic","whb-comb",2014,1.42666666666667,2014,1.76222222222222
"Iceland and East Greenland","Pelagic","whb-comb",2014,1.42666666666667,2014,1.76222222222222
"North Sea","Pelagic","whb-comb",2014,1.42666666666667,2014,1.76222222222222
"Barents Sea and Norwegian Sea","Demersal","cod-arct",2014,1.1925,2015,2.47608695652174
"Barents Sea and Norwegian Sea","Demersal","had-arct",2014,0.434285714285714,2015,9.625
